Company,Greeting,Email,Priority,Notes
Lovable,"Hi Anton,",partnerships@lovable.dev,1,"Stockholm HQ. Runs Young Founders hackathons at their own office repeatedly, often with a VC co-sponsor. Closest thing to a guaranteed yes on this list. Send first."
Cluely,"Hi Roy,",roy@cluely.com,2,"Founder and CEO. help@cluely.com is the general backup. TechCrunch reported he publicly admitted to lying about Cluely's revenue numbers last year, worth knowing before you pitch him."
Wave Ventures,"Hi Elis,",elis@wave.ventures,3,"Investment Manager for Sweden. Co-sponsored Lovable's own Young Founders hackathon directly, so this is a warm adjacent contact, not cold."
Norrsken House Stockholm,"Hi Viktoria,",no public email found, use norrsken.org contact form or LinkedIn DM,4,"Viktoria Hensler is the confirmed Community Manager. Norrsken exists specifically to back founders, strong values fit."
Epicenter Stockholm,"Hi Carl,",no public email found, use weareepicenter.com contact form,5,"Carl Setterberg handles community events there. Describes itself as the hub that connects startups with large corporations, exactly your pitch."
Klarna,"Hi team,",press@klarna.com is media only, not the right inbox,6,"No specific partnerships contact surfaced. Better to find a real person on LinkedIn than cold email press."
Spotify,"Hi team,",office@spotify.com,7,"General office contact only. No dedicated partnerships or community person found for Stockholm."
King,"Hi team,",no contact found,8,"Nothing surfaced. Needs a manual LinkedIn search before sending anything."
Founders House Stockholm,"Hi team,",no email found, use founders-house.com contact form or Instagram DM,9,"Active Stockholm founder community space, no named contact found yet."
Google DeepMind,"Hi team,",no contact found,10,"Confirmed they backed a Stockholm AI hackathon for founders before. Big company, no specific person found, lowest odds of a cold reply. Chase last."
